Procurement title:,Project X,,Members of Evaluation Team:,,"Member 1, Member 2, Member 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project quality weighting (%):,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project price weighting (%):,60%,,Overall Quality Threshold (optional):,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUALITY SCORES,,,Thomas Muller,,,Paul Jeff,,,Mirabel Nicolas ,,,Mary Blight,,,Tom Hanks,,,Billy Graham,,,Mendi Henandese,,,Mirteran Pablo,,,Blaise Compaoré,,,Trevore Levis,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Example Technical & Quality Criteria,Individual Quality Threshold (optional),Section Criteria Weight ,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,Quality Threshold reached?,,Section Weighted Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functionality,0,30%,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methodology,0,10%,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation,0,30%,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintainability,0,10%,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After sales assistance and support,0,10%,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,0,10%,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sustainability Considerations,0,0%,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Totals (MUST EQUAL 100%),,100%,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is overall quality threshold reached?,,,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
